Buyer_County,Buyer_State,Year,Total_dosage_unit,FIPS,FIPS_year,Prescription_rate,Population,Avgdosage,Prescription_trend,Distributor_dosage,Overdose_death,percent_male,unmployment_rate,mean_income
Bradford,FL,2012,1433470,12007,2012-12007,113.4,28404,50.46718772,0,NA,NA,NA,7.6,NA
Braxton,WV,2006,721100,54007,2006-54007,115.3,14585,49.44120672,0,NA,NA,NA,4.6,NA
Braxton,WV,2007,743460,54007,2007-54007,103.2,14585,50.97428865,0,NA,NA,NA,4.1,NA
Braxton,WV,2008,822400,54007,2008-54007,112.9,14587,56.37896757,0,NA,NA,NA,3.9,NA
Braxton,WV,2009,873430,54007,2009-54007,114.1,14554,60.01305483,0,NA,NA,NA,6.7,NA
Braxton,WV,2010,913710,54007,2010-54007,118,14558,62.76342904,0,NA,NA,NA,11.1,NA
Braxton,WV,2011,920260,54007,2011-54007,113.8,14541,63.28725672,0,NA,NA,NA,11.1,NA
Braxton,WV,2012,842080,54007,2012-54007,113,14531,57.9505884,0,NA,NA,NA,10.8,NA
Brevard,FL,2006,19751285,12009,2006-12009,95.5,535138,36.90876933,1,NA,51,0.491600216,3.2,46335
Brevard,FL,2007,22323482,12009,2007-12009,98,539719,41.36130468,1,NA,27,0.491175225,3.7,50354
Brevard,FL,2008,25587640,12009,2008-12009,104.5,542378,47.17676602,0,NA,30,0.491043221,5.5,49411
Brevard,FL,2009,27191982,12009,2009-12009,106,532697,51.04587035,0,NA,37,0.492483551,8.5,45391
Brevard,FL,2010,31189425,12009,2010-12009,107.9,540583,57.69590424,0,NA,27,0.489829333,11.3,46262
Brevard,FL,2011,31040115,12009,2011-12009,105.5,542320,57.23579252,0,NA,34,0.491726856,10.9,46429
Brevard,FL,2012,26847870,12009,2012-12009,98.6,544019,49.35097855,1,NA,24,0.48932135,9.4,46162
Bristol,VA,2006,1506520,51520,2006-51520,260.3,17684,85.19113323,0,NA,NA,NA,3.2,NA
Bristol,VA,2007,1668500,51520,2007-51520,260.6,17540,95.12542759,0,NA,NA,NA,3.1,NA
Bristol,VA,2008,1806430,51520,2008-51520,234.2,17631,102.4576031,0,NA,NA,NA,3.9,NA
Bristol,VA,2009,1848900,51520,2009-51520,224.7,17526,105.4946936,0,NA,NA,NA,6.5,NA
Bristol,VA,2010,1953170,51520,2010-51520,220.2,17704,110.3236557,0,NA,NA,NA,8.8,NA
Bristol,VA,2011,2057360,51520,2011-51520,226.3,17718,116.1169432,0,NA,NA,NA,8.3,NA
Bristol,VA,2012,2055170,51520,2012-51520,217.7,17747,115.8037978,0,NA,NA,NA,7.3,NA
Brooke,WV,2006,1038320,54009,2006-54009,114.4,24399,42.55584245,0,NA,NA,NA,7.2,NA
Brooke,WV,2007,1184510,54009,2007-54009,123,24235,48.87600578,0,NA,NA,NA,7,NA
Brooke,WV,2008,1310140,54009,2008-54009,127.5,24168,54.20969878,0,NA,NA,NA,6.8,NA
Brooke,WV,2009,1480920,54009,2009-54009,135.8,23801,62.22091509,0,NA,NA,NA,12.8,NA
Brooke,WV,2010,1521570,54009,2010-54009,148.2,24194,62.89038605,0,NA,NA,NA,11.4,NA
Brooke,WV,2011,1449070,54009,2011-54009,140.5,24081,60.17482663,0,NA,12,NA,9.8,NA
Brooke,WV,2012,1411650,54009,2012-54009,133.8,24021,58.76732859,0,NA,NA,NA,8.7,NA
Broward,FL,2006,60408269,12011,2006-12011,66.2,1739348,34.7304099,1,91546110,95,0.486421173,3.4,50499
Broward,FL,2007,75167983.5,12011,2007-12011,71.5,1720825,43.68136417,1,80686820,110,0.486743794,5.2,52670
Broward,FL,2008,89863037,12011,2008-12011,73.8,1723633,52.13582996,1,87862330,137,0.486631141,8.3,51623
Broward,FL,2009,102113462.5,12011,2009-12011,75.1,1759132,58.04764083,1,133509690,117,0.487145028,11.9,48844
Broward,FL,2010,114041577,12011,2010-12011,77.3,1734139,65.76265051,1,107549050,125,0.484264743,10.2,48063
Broward,FL,2011,73704907,12011,2011-12011,68.5,1742012,42.31021773,1,38940390,129,0.485653633,9.4,48880
Broward,FL,2012,52792252,12011,2012-12011,58.8,1761993,29.96166954,1,42973640,122,0.485793634,8,49793
Brown,OH,2006,1679860,39015,2006-39015,102.7,44334,37.89100916,0,NA,NA,NA,6.1,NA
Brown,OH,2007,1846400,39015,2007-39015,102.8,44490,41.501461,0,NA,NA,NA,6.2,NA
Brown,OH,2008,1981590,39015,2008-39015,108.5,44668,44.36263097,0,NA,NA,NA,7.6,NA
Brown,OH,2009,2148930,39015,2009-39015,115.2,43823,49.03657897,0,NA,NA,NA,13.7,NA
Brown,OH,2010,2319750,39015,2010-39015,109,44618,51.99134878,0,NA,NA,NA,13.3,NA
Brown,OH,2011,2569350,39015,2011-39015,113.3,44688,57.49530075,0,NA,NA,NA,11.9,NA
Brown,OH,2012,2381790,39015,2012-39015,106.9,44666,53.3244526,0,NA,NA,NA,10,NA
Brunswick,VA,2006,116000,51025,2006-51025,24.7,18011,6.440508578,1,NA,NA,NA,3.6,NA
Brunswick,VA,2007,114000,51025,2007-51025,25.7,17823,6.396229591,1,NA,NA,NA,3.5,NA
Brunswick,VA,2008,86400,51025,2008-51025,27.1,17791,4.856388061,1,NA,NA,NA,4.9,NA
Brunswick,VA,2009,98000,51025,2009-51025,24.7,17786,5.509951647,1,NA,NA,NA,8.1,NA
Brunswick,VA,2010,114420,51025,2010-51025,25.3,17707,6.461851245,1,NA,NA,NA,11.3,NA
Brunswick,VA,2011,137600,51025,2011-51025,27.2,17553,7.839115821,1,NA,NA,NA,10.6,NA
Brunswick,VA,2012,141820,51025,2012-51025,27.4,17372,8.16371172,1,NA,NA,NA,10.1,NA
Buchanan,VA,2006,2053130,51027,2006-51027,75.5,25009,82.09564557,1,NA,NA,NA,3.3,NA
Buchanan,VA,2007,2095840,51027,2007-51027,80.6,24670,84.95500608,1,NA,NA,NA,3.4,NA
Buchanan,VA,2008,2116220,51027,2008-51027,83.4,24371,86.83353166,1,NA,11,NA,4,NA
Buchanan,VA,2009,2136350,51027,2009-51027,83.9,23584,90.58471845,1,NA,NA,NA,7.2,NA
Buchanan,VA,2010,2281610,51027,2010-51027,131.5,24459,93.2830451,0,NA,NA,NA,10,NA
Buchanan,VA,2011,2224440,51027,2011-51027,118.7,24173,92.02167708,0,NA,NA,NA,8.6,NA
Buchanan,VA,2012,2311470,51027,2012-51027,130.9,24071,96.02716962,0,NA,13,NA,9.1,NA
Buckingham,VA,2006,307700,51029,2006-51029,NA,16547,18.5955158,0,NA,NA,NA,3.4,NA
Buckingham,VA,2007,375460,51029,2007-51029,NA,16737,22.43293302,0,NA,NA,NA,3.7,NA
Buckingham,VA,2008,385350,51029,2008-51029,NA,16819,22.91158808,0,NA,NA,NA,4.8,NA
Buckingham,VA,2009,450400,51029,2009-51029,5.6,15932,28.27014813,1,NA,NA,NA,8.4,NA
Buckingham,VA,2010,498000,51029,2010-51029,1,16874,29.51286002,1,NA,NA,NA,10.7,NA
Buckingham,VA,2011,568560,51029,2011-51029,NA,17021,33.40344281,0,NA,NA,NA,9.6,NA
Buckingham,VA,2012,575620,51029,2012-51029,NA,17071,33.71917287,0,NA,NA,NA,8.5,NA
Buena Vista City,VA,2006,220600,51530,2006-51530,99.2,6679,33.02889654,1,NA,NA,NA,3.3,NA
Buena Vista City,VA,2007,251480,51530,2007-51530,85.2,6618,37.99939559,1,NA,NA,NA,3,NA
Buena Vista City,VA,2008,270080,51530,2008-51530,82.5,6664,40.52821128,1,NA,NA,NA,3.9,NA
