,State,Year,1_Include the treatment of pain?,3_max_amount_prescription,3_1_max_amount_prescriptions_det,4_prescrib_duration,4_1_prescrib_duration_det,5_unprof_excessive_Rx,5_1_excess_Rx_factors,8_pracitioner_education,9_hc_facility_methods,10_integrative_care,11_individual_care,14_risk_benefit_before,16_PMPdata_submit,16_1_PMPdata_timeframe,17_data_other state PMP,18_PMP_pract_registration,19_prac_checkPMP,20_PMP_teach,21PMP_eval_outcomes,key2,Population,percent_male,percent_female,under_18,18-24,25-44,45-64,over_65,Mean_income,Unemployment_rate,County,FIPS County Code,Prescribing Rate,outcome1_avg,outcome2_med,outcome3_medbyyear
24,CT,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-9011,269717,0.500617314,0.499382686,0.199846506,0.103382434,0.239732757,0.289240204,0.167798099,84880,5.9,New London,9011,74.9,1,1,0
25,CT,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-9013,151094,0.500443433,0.499556567,0.178292983,0.190020782,0.206282182,0.276529842,0.148874211,98686,4.5,Tolland,9013,48.4,1,0,0
26,CT,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-9011,268612,0.501273212,0.498726788,0.197962116,0.103051986,0.238723512,0.287999047,0.172263339,88199,5.1,New London,9011,66.4,1,1,1
27,CT,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-9001,944802,0.48690731,0.51309269,0.229508405,0.091514413,0.239020451,0.288496426,0.151460306,141494,4.9,Fairfield,9001,43.4,1,1,1
28,CT,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-9009,857991,0.482074987,0.517925013,0.205904258,0.100762129,0.24871473,0.279005258,0.165613625,85132,5.5,New Haven,9009,63.1,1,1,1
29,CT,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-9005,182801,0.494056378,0.505943622,0.187816259,0.075842036,0.204785532,0.33209884,0.199457333,95078,4.7,Litchfield,9005,60.6,1,1,1
30,CT,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-9003,894170,0.485749913,0.514250087,0.212986345,0.091588848,0.25140745,0.279257859,0.164759498,91795,5.4,Hartford,9003,56,1,1,1
31,CT,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-9007,163152,0.487330833,0.512669167,0.184502795,0.088684172,0.219102432,0.317942777,0.189767824,103141,4.4,Middlesex,9007,63.3,1,1,1
32,CT,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-9015,116052,0.495476166,0.504523834,0.201495881,0.099162444,0.24532968,0.296384379,0.157627615,73329,5.6,Windham,9015,71.6,1,1,1
33,CT,2017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-9005,181710,0.494150019,0.505849981,0.184777943,0.075785592,0.205657366,0.327637444,0.206141654,98961,4.4,LITCHFIELD,9005,52,1,1,1
